State,Temperature_Above_Avg,High_Rainfall,High_Humidity,Insecticide_Use,Health_Facilities_Adequate,Vaccination_Rate_High,High_Population_Density,Mosquito_Net_Coverage_High,Malaria_Outbreak,Malaria_diagnosis
Andhra Pradesh,24.0,86.1,97,27.2,71.1,69.8,954,33.7,4.1,The person is not affected with Malaria 😊
Andhra Pradesh,31.6,459.5,78,90.5,63.4,70.3,1512,15.9,37.0,The person is affected with Malaria 😷
Andhra Pradesh,28.9,356.9,97,32.8,57.7,17.6,1704,33.5,42.8,The person is affected with Malaria 😷
Andhra Pradesh,28.6,175.0,80,89.7,19.8,97.7,477,78.4,68.8,The person is not affected with Malaria 😊
Andhra Pradesh,33.0,101.0,66,57.3,53.6,26.9,714,45.7,5.2,The person is not affected with Malaria 😊
Andhra Pradesh,23.2,104.1,52,40.7,6.9,41.8,1549,11.0,60.4,The person is affected with Malaria 😷
Andhra Pradesh,35.5,310.8,81,62.3,58.9,99.8,337,96.4,0.1,The person is not affected with Malaria 😊
Andhra Pradesh,24.4,412.7,46,0.8,54.8,19.6,271,56.3,3.2,The person is affected with Malaria 😷
Andhra Pradesh,31.0,242.9,61,80.6,85.2,83.0,1963,79.9,84.8,The person is affected with Malaria 😷
Andhra Pradesh,27.8,199.2,78,35.6,77.3,25.3,924,85.4,49.8,The person is not affected with Malaria 😊
Andhra Pradesh,22.9,63.5,99,41.8,92.1,34.0,813,16.4,29.5,The person is affected with Malaria 😷
Andhra Pradesh,38.8,77.7,73,68.8,68.3,3.2,316,51.2,1.8,The person is affected with Malaria 😷
Andhra Pradesh,39.7,358.3,98,10.0,27.4,47.1,414,94.5,84.7,The person is affected with Malaria 😷
Andhra Pradesh,24.6,93.7,42,97.2,84.3,53.7,308,87.6,46.5,The person is not affected with Malaria 😊
Andhra Pradesh,24.3,66.0,60,51.6,85.0,45.8,1815,15.8,79.8,The person is affected with Malaria 😷
Andhra Pradesh,39.3,492.0,55,85.1,43.1,42.8,893,92.5,60.3,The person is not affected with Malaria 😊
Andhra Pradesh,31.0,353.7,84,88.8,92.6,94.4,171,41.5,65.1,The person is affected with Malaria 😷
Andhra Pradesh,26.5,70.5,96,92.9,68.5,71.7,907,50.6,76.3,The person is affected with Malaria 😷
Andhra Pradesh,30.2,270.4,90,25.0,32.6,76.8,1588,63.4,96.1,The person is not affected with Malaria 😊
Andhra Pradesh,37.6,390.4,58,0.4,47.6,35.1,264,3.1,21.9,The person is not affected with Malaria 😊
Andhra Pradesh,38.9,206.1,97,57.1,90.5,7.0,1662,59.0,61.5,The person is not affected with Malaria 😊
Andhra Pradesh,25.4,375.9,42,51.5,73.0,71.2,1592,41.1,91.3,The person is affected with Malaria 😷
Andhra Pradesh,38.6,75.2,71,57.5,93.4,65.8,1572,42.8,12.3,The person is affected with Malaria 😷
Andhra Pradesh,21.2,393.4,68,79.6,82.3,67.6,365,9.2,43.4,The person is not affected with Malaria 😊
Andhra Pradesh,31.5,221.5,88,31.4,89.8,22.0,1147,69.0,7.4,The person is not affected with Malaria 😊
Andhra Pradesh,26.4,375.0,42,73.8,98.3,32.0,835,34.9,7.6,The person is affected with Malaria 😷
Andhra Pradesh,26.8,439.0,87,61.4,47.8,34.2,1112,10.5,51.2,The person is not affected with Malaria 😊
Andhra Pradesh,33.6,433.4,64,38.4,61.2,93.1,680,51.7,88.3,The person is affected with Malaria 😷
Andhra Pradesh,37.4,154.3,81,6.9,29.9,95.0,1193,49.2,24.7,The person is not affected with Malaria 😊
Andhra Pradesh,25.1,329.0,88,11.3,10.2,91.7,892,90.7,76.8,The person is not affected with Malaria 😊
Andhra Pradesh,29.7,383.7,67,12.4,90.1,64.0,1011,75.6,9.2,The person is not affected with Malaria 😊
Andhra Pradesh,30.3,275.9,51,78.1,17.3,81.9,1824,91.6,7.3,The person is not affected with Malaria 😊
Andhra Pradesh,38.4,409.7,46,62.8,0.4,70.6,1434,10.6,72.3,The person is affected with Malaria 😷
Andhra Pradesh,21.2,425.0,68,10.4,69.0,63.0,1897,61.9,13.4,The person is affected with Malaria 😷
Andhra Pradesh,24.4,189.1,70,16.1,18.9,68.3,1549,17.3,71.1,The person is not affected with Malaria 😊
Andhra Pradesh,29.9,158.0,71,82.1,86.5,52.1,104,79.4,84.9,The person is affected with Malaria 😷
Andhra Pradesh,26.7,245.9,49,22.1,86.2,43.8,1934,37.0,54.9,The person is affected with Malaria 😷
Andhra Pradesh,35.1,363.8,49,25.6,86.6,51.3,991,56.9,16.3,The person is affected with Malaria 😷
Andhra Pradesh,22.9,152.0,92,74.0,19.2,77.4,1553,75.4,0.2,The person is not affected with Malaria 😊
Andhra Pradesh,20.0,330.6,59,77.3,83.2,4.9,1913,50.2,88.8,The person is affected with Malaria 😷
Andhra Pradesh,21.3,279.6,61,6.2,70.9,16.9,1809,29.3,2.3,The person is not affected with Malaria 😊
Andhra Pradesh,33.8,69.8,74,39.2,56.1,77.3,803,82.4,57.1,The person is not affected with Malaria 😊
Andhra Pradesh,29.4,295.6,50,81.4,76.0,15.9,541,71.0,8.7,The person is affected with Malaria 😷
Andhra Pradesh,38.0,74.7,47,90.3,32.0,99.8,1574,14.0,59.1,The person is not affected with Malaria 😊
Andhra Pradesh,20.5,472.6,82,41.5,10.6,47.2,1882,63.6,71.5,The person is affected with Malaria 😷
Andhra Pradesh,26.9,389.4,67,69.6,85.2,0.6,989,41.7,70.3,The person is affected with Malaria 😷
Andhra Pradesh,38.0,158.0,87,22.5,25.5,37.9,1453,24.2,84.0,The person is not affected with Malaria 😊
Andhra Pradesh,33.3,310.9,45,68.5,36.4,27.2,555,46.4,99.8,The person is affected with Malaria 😷
Andhra Pradesh,22.2,485.4,57,38.9,80.2,51.2,363,9.4,49.3,The person is not affected with Malaria 😊
Andhra Pradesh,25.0,379.3,60,70.5,49.9,97.2,975,23.8,99.4,The person is affected with Malaria 😷
Andhra Pradesh,37.6,261.7,86,90.4,6.6,36.0,350,91.2,13.6,The person is not affected with Malaria 😊
Andhra Pradesh,26.8,293.9,86,52.8,22.6,36.5,924,7.1,5.7,The person is not affected with Malaria 😊
Andhra Pradesh,25.8,221.2,44,63.9,26.7,33.4,1516,35.3,42.7,The person is affected with Malaria 😷
Arunachal Pradesh,25.5,194.6,57,39.3,24.3,91.7,849,0.3,45.8,The person is not affected with Malaria 😊
Arunachal Pradesh,37.3,480.9,46,31.8,42.4,73.2,1476,68.0,64.4,The person is affected with Malaria 😷
Arunachal Pradesh,37.8,408.5,54,83.9,3.3,42.8,501,30.4,72.4,The person is affected with Malaria 😷
Arunachal Pradesh,36.8,488.1,67,53.0,10.7,7.7,298,17.4,4.2,The person is affected with Malaria 😷
Arunachal Pradesh,32.7,109.8,44,92.6,2.3,65.6,1377,65.4,89.7,The person is not affected with Malaria 😊
Arunachal Pradesh,27.8,381.8,93,21.3,41.8,62.1,1618,65.0,65.0,The person is affected with Malaria 😷
Arunachal Pradesh,24.6,157.1,93,52.1,67.8,84.9,1726,37.6,23.7,The person is not affected with Malaria 😊
Arunachal Pradesh,26.4,78.7,52,35.3,36.3,82.5,1390,57.0,10.0,The person is affected with Malaria 😷
Arunachal Pradesh,34.8,276.0,40,85.9,14.6,22.4,1368,46.3,52.8,The person is not affected with Malaria 😊
Arunachal Pradesh,35.0,115.5,84,16.5,33.5,50.8,508,2.5,93.0,The person is not affected with Malaria 😊
Arunachal Pradesh,21.3,399.7,93,89.9,41.9,47.8,692,39.0,91.6,The person is not affected with Malaria 😊
Arunachal Pradesh,34.3,335.5,67,83.4,23.4,26.7,228,98.3,26.4,The person is affected with Malaria 😷
Arunachal Pradesh,25.0,320.3,41,85.6,64.2,45.8,1680,87.5,69.9,The person is not affected with Malaria 😊
Arunachal Pradesh,31.9,460.9,97,60.1,62.8,55.0,1469,7.2,15.7,The person is not affected with Malaria 😊
Arunachal Pradesh,33.4,291.8,68,74.1,85.2,1.0,169,37.1,82.5,The person is affected with Malaria 😷
Arunachal Pradesh,25.5,394.1,82,9.5,34.4,15.4,1956,78.7,58.5,The person is not affected with Malaria 😊
Arunachal Pradesh,24.8,248.6,61,46.8,23.7,2.0,533,45.0,61.4,The person is not affected with Malaria 😊
Arunachal Pradesh,35.2,159.3,81,66.7,93.1,2.5,1897,91.1,87.5,The person is affected with Malaria 😷
Arunachal Pradesh,35.7,361.4,99,34.7,26.8,17.8,1317,16.2,97.0,The person is not affected with Malaria 😊
Arunachal Pradesh,35.1,267.5,41,64.1,54.4,15.0,1192,70.5,99.2,The person is affected with Malaria 😷
Arunachal Pradesh,24.5,270.9,47,88.9,33.6,15.8,1694,11.3,94.1,The person is affected with Malaria 😷
Arunachal Pradesh,35.8,183.9,79,26.7,59.3,77.7,832,52.9,78.3,The person is affected with Malaria 😷
Arunachal Pradesh,37.9,296.5,95,63.1,93.8,94.9,212,40.8,16.2,The person is not affected with Malaria 😊
Arunachal Pradesh,39.2,97.9,44,86.6,16.3,6.3,571,64.6,83.3,The person is not affected with Malaria 😊
Arunachal Pradesh,25.1,201.7,49,46.9,52.1,82.8,1188,79.5,36.2,The person is affected with Malaria 😷
Arunachal Pradesh,33.2,476.4,71,51.9,60.3,81.7,342,16.4,26.7,The person is affected with Malaria 😷
Arunachal Pradesh,20.1,445.7,74,15.4,8.9,69.4,1505,15.1,25.0,The person is affected with Malaria 😷
Arunachal Pradesh,31.7,139.6,85,94.7,36.9,11.0,704,58.9,17.9,The person is affected with Malaria 😷
Arunachal Pradesh,35.8,436.4,66,56.8,3.2,62.5,1312,54.8,59.3,The person is affected with Malaria 😷
Arunachal Pradesh,34.7,404.3,48,89.7,36.9,17.0,1482,65.0,72.8,The person is affected with Malaria 😷
Arunachal Pradesh,33.1,481.0,59,94.4,35.8,47.0,1571,66.9,15.7,The person is not affected with Malaria 😊
Arunachal Pradesh,21.8,314.4,93,3.8,17.3,96.4,967,84.3,38.7,The person is not affected with Malaria 😊
Arunachal Pradesh,23.7,58.4,59,38.3,99.4,9.5,1604,99.6,99.3,The person is affected with Malaria 😷
Arunachal Pradesh,36.4,280.4,43,60.6,14.9,28.9,1039,12.1,38.7,The person is not affected with Malaria 😊
Arunachal Pradesh,37.9,333.5,83,17.9,63.0,98.9,1799,69.5,52.7,The person is not affected with Malaria 😊
Arunachal Pradesh,20.6,155.5,94,57.1,66.7,86.9,1004,4.6,10.1,The person is affected with Malaria 😷
Arunachal Pradesh,35.1,305.9,92,83.0,55.8,59.1,1725,76.9,26.1,The person is not affected with Malaria 😊
Arunachal Pradesh,20.3,72.1,59,37.4,56.2,48.3,1194,82.6,32.4,The person is not affected with Malaria 😊
Arunachal Pradesh,38.1,92.2,95,29.0,22.7,59.8,596,29.3,59.8,The person is not affected with Malaria 😊
Arunachal Pradesh,20.7,273.2,90,31.2,94.7,82.7,707,27.4,95.4,The person is affected with Malaria 😷
Arunachal Pradesh,33.7,429.9,40,8.4,96.5,28.0,1937,55.0,9.5,The person is affected with Malaria 😷
Arunachal Pradesh,24.1,481.8,59,12.5,73.3,8.3,754,47.6,66.3,The person is not affected with Malaria 😊
Arunachal Pradesh,28.7,408.6,73,34.5,48.2,54.9,270,99.5,1.3,The person is not affected with Malaria 😊
Arunachal Pradesh,34.7,105.3,45,30.7,20.4,41.2,1014,18.5,77.8,The person is not affected with Malaria 😊
Arunachal Pradesh,27.7,241.4,71,26.7,62.2,45.6,888,47.3,39.7,The person is affected with Malaria 😷
Arunachal Pradesh,30.2,413.7,62,49.9,50.3,84.4,1207,69.1,87.3,The person is not affected with Malaria 😊
Arunachal Pradesh,31.7,321.8,86,12.1,13.5,55.4,1345,69.9,62.8,The person is not affected with Malaria 😊
Arunachal Pradesh,34.7,414.9,62,75.8,15.8,68.7,1542,41.3,75.3,The person is affected with Malaria 😷
Arunachal Pradesh,31.2,202.3,99,60.5,81.4,23.1,1143,90.5,13.2,The person is affected with Malaria 😷
Arunachal Pradesh,24.2,195.2,99,92.6,78.1,23.0,1357,44.6,84.0,The person is not affected with Malaria 😊
Arunachal Pradesh,34.7,116.1,42,95.6,33.3,4.0,1253,44.3,85.1,The person is not affected with Malaria 😊
Arunachal Pradesh,33.8,264.6,73,47.2,93.1,38.8,521,57.3,76.5,The person is affected with Malaria 😷
Arunachal Pradesh,26.4,117.8,43,55.8,94.9,67.6,550,40.2,71.3,The person is affected with Malaria 😷
Arunachal Pradesh,23.7,125.8,62,50.3,43.7,84.8,109,33.8,18.0,The person is affected with Malaria 😷
Arunachal Pradesh,31.0,452.6,46,7.4,4.3,97.9,497,73.0,18.6,The person is not affected with Malaria 😊
Arunachal Pradesh,29.5,57.6,68,2.8,71.9,34.7,1388,84.8,96.5,The person is affected with Malaria 😷
Arunachal Pradesh,36.4,151.8,88,19.2,6.7,24.2,477,27.2,73.6,The person is affected with Malaria 😷
Arunachal Pradesh,31.5,400.9,99,58.0,45.2,97.3,441,30.1,88.4,The person is affected with Malaria 😷
Arunachal Pradesh,32.1,202.3,83,26.3,65.7,25.3,639,36.1,35.8,The person is not affected with Malaria 😊
Arunachal Pradesh,33.2,253.9,57,88.1,0.9,4.5,1619,40.6,80.7,The person is not affected with Malaria 😊
Arunachal Pradesh,22.2,259.7,40,58.3,60.5,96.1,1213,48.7,27.1,The person is not affected with Malaria 😊
Arunachal Pradesh,32.9,248.1,41,28.6,82.0,79.6,1755,27.6,13.3,The person is not affected with Malaria 😊
Arunachal Pradesh,35.6,287.7,46,62.6,69.3,39.8,102,8.5,96.7,The person is affected with Malaria 😷
Arunachal Pradesh,32.3,335.0,67,34.5,97.3,11.6,191,75.3,47.1,The person is affected with Malaria 😷
Arunachal Pradesh,38.6,499.2,81,82.0,3.3,41.4,1169,75.7,49.2,The person is affected with Malaria 😷
Arunachal Pradesh,35.0,95.5,55,18.5,27.6,62.2,478,57.5,61.6,The person is not affected with Malaria 😊
Arunachal Pradesh,32.0,81.7,40,36.1,55.6,50.1,162,22.0,64.1,The person is not affected with Malaria 😊
Arunachal Pradesh,27.0,442.1,91,53.8,19.6,34.6,268,36.8,96.2,The person is not affected with Malaria 😊
Arunachal Pradesh,21.7,166.3,42,64.0,71.8,45.6,1618,46.1,43.4,The person is affected with Malaria 😷
Arunachal Pradesh,36.7,335.1,52,88.5,38.0,32.7,895,42.7,99.8,The person is affected with Malaria 😷
Arunachal Pradesh,36.2,493.6,44,7.7,78.3,31.0,1908,55.5,55.8,The person is affected with Malaria 😷
Arunachal Pradesh,38.2,371.0,71,13.1,40.9,80.6,1065,25.0,36.9,The person is affected with Malaria 😷
Arunachal Pradesh,23.7,413.6,59,46.4,28.0,50.7,113,51.4,48.7,The person is affected with Malaria 😷
Arunachal Pradesh,29.4,102.6,52,24.2,86.1,36.2,1664,72.9,74.7,The person is not affected with Malaria 😊
Arunachal Pradesh,33.7,305.7,100,66.0,54.5,30.3,805,86.8,26.3,The person is not affected with Malaria 😊
Arunachal Pradesh,36.6,310.7,62,43.5,66.3,46.7,1247,94.6,6.1,The person is affected with Malaria 😷
Arunachal Pradesh,25.3,441.7,63,84.6,68.6,17.1,855,42.0,86.1,The person is not affected with Malaria 😊
Arunachal Pradesh,32.9,338.4,91,80.3,83.8,7.7,977,18.1,50.0,The person is affected with Malaria 😷
Arunachal Pradesh,33.6,282.3,76,82.5,34.4,67.2,1718,25.5,87.3,The person is not affected with Malaria 😊
Arunachal Pradesh,33.0,103.5,45,58.2,64.6,88.1,1056,87.3,73.5,The person is affected with Malaria 😷
Arunachal Pradesh,21.4,214.2,66,71.0,95.6,0.1,655,24.4,58.0,The person is affected with Malaria 😷
Arunachal Pradesh,38.5,431.4,59,94.3,15.2,47.5,1958,13.3,88.5,The person is affected with Malaria 😷
Arunachal Pradesh,27.6,371.6,80,54.1,42.7,81.3,1257,25.7,66.8,The person is affected with Malaria 😷
Arunachal Pradesh,24.1,285.9,73,58.9,85.6,93.6,247,68.6,40.1,The person is not affected with Malaria 😊
Arunachal Pradesh,27.5,307.3,43,76.1,63.3,94.5,1896,57.4,90.2,The person is not affected with Malaria 😊
Arunachal Pradesh,38.3,304.7,64,90.5,86.9,23.5,1219,33.3,12.0,The person is affected with Malaria 😷
Arunachal Pradesh,22.2,454.9,60,10.5,56.6,94.4,1715,61.2,52.4,The person is not affected with Malaria 😊
Arunachal Pradesh,30.5,367.0,48,93.2,46.5,73.3,1532,51.4,17.7,The person is not affected with Malaria 😊
Arunachal Pradesh,20.9,308.7,51,76.9,69.9,95.0,553,58.8,64.7,The person is affected with Malaria 😷
Arunachal Pradesh,38.2,136.9,60,16.7,88.5,99.4,204,6.3,9.1,The person is affected with Malaria 😷
Arunachal Pradesh,29.7,319.1,44,54.8,28.5,92.7,1267,6.6,16.8,The person is not affected with Malaria 😊
Arunachal Pradesh,28.2,197.2,80,57.2,16.0,56.3,1572,0.6,70.9,The person is affected with Malaria 😷
Arunachal Pradesh,23.0,322.6,49,59.8,54.6,45.4,1787,51.5,69.6,The person is not affected with Malaria 😊
Arunachal Pradesh,36.8,430.2,81,68.8,99.3,40.2,1678,6.2,58.0,The person is not affected with Malaria 😊
Arunachal Pradesh,39.9,64.9,95,55.5,12.4,23.5,1032,13.9,96.0,The person is affected with Malaria 😷
Arunachal Pradesh,27.1,481.2,94,0.8,36.9,37.5,984,8.0,67.5,The person is not affected with Malaria 😊
Arunachal Pradesh,24.0,439.3,70,34.1,81.6,85.3,1218,58.6,22.9,The person is affected with Malaria 😷
Arunachal Pradesh,27.7,62.2,78,59.0,56.8,51.5,1403,44.6,71.6,The person is affected with Malaria 😷
Arunachal Pradesh,23.9,182.2,64,21.7,57.5,24.4,635,89.5,24.3,The person is affected with Malaria 😷
Assam,26.9,481.5,41,94.2,38.5,6.6,1209,90.6,5.0,The person is not affected with Malaria 😊
Assam,32.3,313.7,83,38.6,29.1,90.5,1115,24.0,55.3,The person is affected with Malaria 😷
Assam,28.4,331.7,47,36.6,28.8,92.8,891,8.1,14.9,The person is not affected with Malaria 😊
Assam,22.9,148.5,69,18.2,7.4,58.5,1557,13.6,83.1,The person is affected with Malaria 😷
Assam,33.3,64.6,73,18.0,21.4,96.6,801,40.3,62.2,The person is not affected with Malaria 😊
Assam,24.9,324.1,95,26.7,71.8,61.0,1696,48.9,40.8,The person is not affected with Malaria 😊
Assam,32.1,223.4,84,60.8,63.8,97.8,1211,57.3,51.7,The person is not affected with Malaria 😊
Assam,27.1,215.0,81,82.2,81.1,45.6,1062,48.3,59.3,The person is affected with Malaria 😷
Assam,37.8,252.4,91,0.0,85.2,34.2,1882,64.4,17.0,The person is affected with Malaria 😷
Assam,31.0,494.1,59,51.2,36.2,60.0,850,64.1,95.4,The person is affected with Malaria 😷
Assam,26.0,376.9,64,47.2,21.6,78.1,975,87.4,57.4,The person is affected with Malaria 😷
Assam,22.6,377.5,73,60.6,43.9,79.9,1312,13.2,9.3,The person is affected with Malaria 😷
Assam,37.7,338.0,58,10.2,80.8,35.3,1816,36.0,13.5,The person is affected with Malaria 😷
Assam,32.2,499.6,43,56.2,48.5,14.2,1210,51.0,62.2,The person is not affected with Malaria 😊
Assam,30.3,246.0,98,37.4,40.2,79.7,481,24.2,4.1,The person is affected with Malaria 😷
Assam,35.1,264.9,84,61.8,11.5,61.3,1989,1.4,41.6,The person is affected with Malaria 😷
Assam,24.5,452.8,65,64.2,28.2,2.7,224,85.2,76.7,The person is not affected with Malaria 😊
Assam,36.5,149.8,93,63.9,56.1,25.9,1880,64.9,85.3,The person is not affected with Malaria 😊
Assam,39.2,132.6,71,92.2,21.2,8.7,1087,96.9,95.1,The person is affected with Malaria 😷
Assam,29.1,105.1,77,64.2,91.3,75.9,1618,7.2,31.2,The person is not affected with Malaria 😊
Assam,37.1,176.0,83,90.9,73.6,27.0,1166,45.2,94.6,The person is affected with Malaria 😷
Assam,39.6,364.5,52,87.2,49.7,89.7,919,92.1,72.6,The person is not affected with Malaria 😊
Assam,20.2,149.3,95,29.1,90.0,22.9,585,29.3,73.7,The person is not affected with Malaria 😊
Assam,33.4,213.6,93,23.7,57.2,53.9,1145,49.7,50.5,The person is affected with Malaria 😷
Assam,31.8,270.0,56,19.2,95.6,49.2,397,6.6,12.9,The person is affected with Malaria 😷
Assam,27.3,386.6,43,49.6,6.8,70.9,1579,7.4,28.2,The person is affected with Malaria 😷
Assam,36.8,184.8,54,40.4,62.9,5.0,452,4.7,22.9,The person is not affected with Malaria 😊
Assam,39.3,93.5,75,68.7,63.0,76.6,764,68.4,64.4,The person is affected with Malaria 😷
Assam,23.7,309.2,92,71.0,15.0,11.6,1538,21.8,38.0,The person is affected with Malaria 😷
Assam,26.3,290.0,89,67.0,49.8,46.2,279,25.8,39.8,The person is affected with Malaria 😷
Assam,32.7,494.0,97,79.8,96.0,24.5,1868,33.8,86.5,The person is affected with Malaria 😷
Assam,38.4,250.6,89,51.4,9.2,39.6,1614,45.0,62.0,The person is affected with Malaria 😷
Assam,32.6,142.6,79,88.4,33.9,15.5,1148,14.3,76.2,The person is affected with Malaria 😷
Assam,37.7,192.5,55,98.0,44.3,74.6,1288,38.8,52.6,The person is not affected with Malaria 😊
Assam,33.6,493.8,58,85.6,29.6,91.1,967,37.8,46.1,The person is affected with Malaria 😷
Assam,27.2,209.6,48,64.5,58.1,15.3,1553,18.2,32.6,The person is affected with Malaria 😷
Assam,32.0,262.4,94,19.4,2.2,36.8,357,42.7,90.5,The person is not affected with Malaria 😊
Assam,24.9,60.9,51,95.4,6.2,89.1,1440,68.9,18.9,The person is affected with Malaria 😷
Assam,35.7,244.6,60,0.9,74.8,87.5,1075,60.7,42.1,The person is not affected with Malaria 😊
Assam,33.4,456.3,94,42.9,38.0,70.4,187,56.2,74.6,The person is affected with Malaria 😷
Assam,28.3,286.5,42,84.8,91.0,24.7,442,36.9,27.1,The person is not affected with Malaria 😊
Assam,27.5,117.2,96,71.8,38.9,37.0,509,18.8,74.6,The person is not affected with Malaria 😊
Assam,27.8,274.9,83,5.0,81.4,60.9,505,54.5,15.3,The person is affected with Malaria 😷
Assam,38.6,157.0,84,63.5,61.9,60.9,1718,33.7,64.0,The person is affected with Malaria 😷
Assam,21.4,56.2,73,41.1,49.0,40.0,800,94.4,37.5,The person is affected with Malaria 😷
Assam,24.0,210.0,59,15.7,87.1,18.1,488,84.9,86.4,The person is affected with Malaria 😷
Assam,35.8,496.6,66,24.7,45.6,67.6,1626,46.6,36.7,The person is affected with Malaria 😷
Assam,21.8,201.5,56,59.7,66.7,75.8,1807,10.2,62.2,The person is affected with Malaria 😷
Assam,38.7,287.4,86,47.1,32.9,52.1,1231,10.5,43.5,The person is affected with Malaria 😷
Assam,37.3,161.1,66,45.8,36.8,49.0,157,74.3,95.0,The person is not affected with Malaria 😊
Assam,28.8,198.0,50,33.8,4.0,73.7,1192,79.7,56.7,The person is not affected with Malaria 😊
Assam,27.4,195.3,67,76.2,89.9,89.5,1397,86.1,13.4,The person is not affected with Malaria 😊
Assam,39.3,314.3,100,14.9,5.2,15.1,747,92.4,60.7,The person is not affected with Malaria 😊
Assam,28.8,223.1,70,93.6,23.3,90.8,839,15.8,42.4,The person is affected with Malaria 😷
Assam,30.3,458.5,90,45.0,30.3,23.5,720,39.0,64.9,The person is affected with Malaria 😷
Assam,22.5,416.2,94,23.5,6.0,6.6,555,60.7,12.8,The person is not affected with Malaria 😊
Assam,38.1,286.2,94,2.6,66.6,62.6,980,93.2,86.6,The person is not affected with Malaria 😊
Assam,36.8,431.7,82,51.4,45.9,69.7,719,52.8,71.6,The person is not affected with Malaria 😊
Assam,34.7,280.9,79,33.1,38.6,91.3,534,65.1,79.8,The person is not affected with Malaria 😊
Assam,21.3,290.2,66,0.1,11.9,68.2,1116,69.1,32.2,The person is affected with Malaria 😷
Assam,23.5,248.4,42,32.4,30.2,42.6,554,32.2,39.9,The person is not affected with Malaria 😊
Assam,23.7,60.2,41,52.9,87.3,99.4,1457,73.3,28.8,The person is not affected with Malaria 😊
Assam,32.9,353.7,70,59.2,65.6,15.0,1135,94.2,59.6,The person is affected with Malaria 😷
Assam,34.2,121.3,53,52.4,67.3,4.1,888,13.6,25.2,The person is affected with Malaria 😷
Assam,26.1,307.1,40,24.4,72.2,94.4,1664,60.5,34.2,The person is not affected with Malaria 😊
Assam,35.5,246.8,84,8.3,26.8,97.1,702,9.7,93.5,The person is not affected with Malaria 😊
Assam,38.8,308.1,81,67.0,27.2,75.0,1294,90.1,94.9,The person is affected with Malaria 😷
Assam,25.2,129.4,64,20.1,20.6,66.0,1603,8.3,85.8,The person is not affected with Malaria 😊
Assam,21.1,372.4,57,99.0,7.6,1.0,710,34.2,36.0,The person is affected with Malaria 😷
Assam,35.1,103.1,79,39.9,76.4,35.4,754,88.0,72.8,The person is not affected with Malaria 😊
Assam,30.2,400.5,85,58.0,29.4,50.6,576,65.2,26.0,The person is affected with Malaria 😷
